Date,Hour,Time,Seawater1,Seawater2,Seawater3,Fibre1,Fibre2,Fibre3,HDPE1,HDPE2,HDPE3,Tween1,Tween2,Tween3
07.06.2019,20:00,0,191.6,190.7,193.1,190.8,191.9,192.7,190.6,188.6,187.8,188,189.5,187
,20:30,30,190.4,187.8,187.2,188.8,189.8,189.3,190.5,189.2,190.3,187.4,189.1,187.4
,21:00,60,190.2,187.1,187.8,187.3,188.9,187.9,189.2,189.5,187.7,185.3,189.7,186.6
,21:30,90,188.5,185.9,186.3,186.1,187.3,187.1,189.7,187.9,187.3,183.9,187.3,184.5
,22:00,120,187.6,185.2,187.6,186.1,186.6,187.1,187.6,186.8,187.6,183.7,186.3,184.1
,22:30,150,187.2,184.5,187.3,185.9,186.8,186.3,187.3,185.5,186.1,182.9,185.9,183.3
,23:00,180,186.7,185.4,187.9,186,187.4,186.3,187.5,185.5,186.7,183.5,186.7,183.7
,23:30,210,186.6,184.8,186.8,185.9,186.1,186.4,187,185.2,186.2,183,185.6,183.1
08.06.2019,0:00,240,186.3,184.6,188.3,186,186.4,185.5,186.8,185,186.3,183,185.6,183.8
,1:00,300,186.9,183.9,187.6,185.4,185.7,184.9,186.9,185.2,186.3,183.3,186.4,182.6
,2:00,360,185.3,185.5,185.5,184.5,185.8,184.4,186.9,185,185.8,182.6,185.5,181.8
,3:00,420,184.9,183.8,185.8,184.6,185.7,183.9,186,184,186.5,182.5,185.3,181.7
,4:00,480,183.9,182.1,185.2,183.9,185.7,183.1,184.9,182.7,185.2,181.1,184.4,180.2
,6:00,600,183,181.3,184,182.2,182,180.3,179.9,180.3,181.5,175.5,183.3,176.7
,7:00,660,179.4,180.8,183.7,180.9,180.3,178.8,176.6,177.4,176.5,169.6,179.3,170.3
,8:00,720,180.4,180,184.3,180.8,180.5,177.8,170.1,170,169.1,163.9,171.5,164.1
,9:00,780,180.3,179.5,184.4,181.2,180.3,177.8,169,159.6,162.1,162.1,160.7,167.2
,10:00,840,180.7,180.5,184.5,181.1,180.9,176.4,170.9,161.9,163.3,167.9,163.3,166.4
