Date,Hour,Time,Seawater1,Seawater2,Seawater3,Fibre1,Fibre2,Fibre3,HDPE1,HDPE2,HDPE3,Tween1,Tween2,Tween3
07.06.2019,19:30,0,195.3,196.5,192.8,193,193.9,191,195.6,194.9,190.5,193,191,191.9
,20:30,60,189.7,190.9,190.8,187.5,191.7,189,190.5,190,189.9,189.6,186.6,190.3
,21:00,90,187.4,185.8,188.4,186.1,188.3,185.4,185.4,187.7,185.5,186.6,184.7,186.9
,21:30,120,184.8,184.3,186.3,183.5,188.7,185.1,182,186.2,184.6,186.4,183.3,185.9
,22:00,150,185.4,185.1,185.7,183,186.1,184.7,183.5,187.5,183.5,184.5,182.3,185.8
,22:30,180,183.5,184.9,184.9,181.1,185.7,184.3,182.5,184.6,184.1,184.9,182.8,184.9
,23:00,210,181.7,185.5,184.8,181.2,185.8,183.3,182.4,184.5,182.7,184,182,183.4
,23:30,240,181.8,185.5,184.3,183.9,183.9,185.3,184.8,183.9,183.6,184.8,184.2,183.3
08.06.2019,0:00,270,183.8,185.6,182.6,182.4,185,184.5,181.2,183.6,185,184.6,182,184.5
,1:00,330,182.9,182.9,183.8,180.9,183.5,183.4,182.6,184.4,186.5,184,182.8,185
,2:00,390,182.6,186.6,183.3,183.7,186,184.8,183,182.6,184.3,185.6,181.2,185.8
,3:00,450,183.3,182.9,184.8,183.9,184,183.8,182.1,183.4,184.2,181.9,183.5,184.1
,4:00,510,182.2,182.7,184.2,183.7,185.9,182.7,182.9,182.1,182.4,181,181.2,184.6
,6:00,630,178.5,179.3,183.2,176.5,175.6,178.2,178,179.3,179.6,173.9,171.6,175.4
,7:00,690,175.4,177.4,177.9,174.8,171.3,167.1,177.2,164.9,170.7,165.8,159.7,166.8
,8:00,750,173.9,178.4,173.6,177,170.7,168.9,172.4,164.1,166.2,159.8,162.5,156.3
,9:00,810,185.8,184.5,183.4,176.4,173,166,170.5,160.1,160,151.6,151.7,155
,10:00,870,177.8,181.1,181.6,169.8,161.9,158.5,174.1,160.6,172.9,160.5,157,155.6
,11:00,930,175.4,180.7,179.7,171.2,166.1,156,174.3,165.9,177.3,146.6,162.4,168.1
,12:00,990,172.9,180.9,177.7,166.7,146.5,151.7,174.7,169.7,177.5,158.5,165.4,171.3
,13:00,1050,173.6,182.5,173.5,149.4,150.3,137.8,174.9,170.1,178.1,147.8,168.1,172.5
,14:00,1110,173.3,182.4,167.7,95.1,140.8,124.9,174.5,169.2,177.7,153.9,174.3,172.8
,15:00,1170,172.5,179,163.8,61.3,97.4,87.4,175.8,173.6,179.4,167.1,176,175.9
,16:00,1230,169.2,178.4,170.7,16.6,122.7,77,176.6,178.6,178.1,166.8,179.4,176.2
,17:00,1290,173,178.3,176,11.6,110.8,92.1,175.2,176.5,181.3,171.4,180.2,178.2
,18:00,1350,179.6,182.2,180,5,110.4,76.8,175,178.9,184.7,167.6,181,180.4
,19:00,1410,180.8,180,182.1,102.8,97.6,84.5,183,179,184.2,177.3,180.2,182.3
,20:00,1470,180.3,185.1,185.6,95.4,119.5,68.9,178.8,181.8,185,179,182,182.9
,21:00,1530,180.6,183.3,183.2,90,105.7,112.3,176.3,180.2,182.1,173.6,175.8,180.8
,22:00,1590,176.4,179.1,181.1,97.8,120,77.1,176.3,180.4,181.6,173.4,174.3,178.9
,23:00,1650,176.7,179.6,181.5,41.6,97.5,102.6,173.3,179.8,180.3,NA,NA,NA
09.06.2019,0:00,1710,177.4,181.1,180.3,75.4,77.9,85.2,176.5,180.8,179.9,174.7,176.8,177.2
,1:00,1770,177.7,180.4,180.4,70.6,60.8,77.4,175.8,179.7,179.9,177.6,178.2,177.4
,2:00,1830,178.8,181.5,181.1,46.9,72.5,48.7,176,180.3,180.6,177.1,177.3,177.3
,4:00,1950,179,180.3,178.3,1.1,65.3,58.5,176.7,177.1,179.3,177.9,177.7,176.4
,5:00,2010,179.7,182.2,179.8,46.5,86,45.1,175.3,180.5,180.6,179,178.3,178.1
,6:00,2070,180.1,181.6,181.6,66.1,74.2,22.1,175.8,180.7,180.3,179.2,179.3,178.4
,7:00,2130,179.4,182.2,179.7,25.7,39.8,20.1,174.5,180.4,180.5,179.4,178.7,178.2
,8:00,2190,179.6,182.1,179.8,36.1,32,63.6,174.6,180.4,180.8,179.8,178.7,178
,9:00,2250,182.4,185.1,184.1,65.5,59.3,60.8,177.4,179.5,179.3,182.4,180.4,182.6
,10:00,2310,185.6,187.5,184.6,39.8,32.6,30.2,180.5,182.4,183.4,183.9,181.7,182.1
,11:00,2370,184.4,184.3,182.7,21.5,33.3,62.2,178.7,184,184.2,181.7,182.1,181.2
,12:00,2430,182.8,183.8,182.6,14.9,29.3,70.1,177.6,183.6,183.8,182,181.5,180.4
,13:00,2490,181.9,184,183.1,32.2,35,75.3,177.3,182.9,184.2,181.2,180.5,179.5
,14:00,2550,183.6,183.9,182.9,14.7,17.5,73,179.4,183.4,183.2,180.7,181,178.4
,15:00,2610,183.5,184,184.2,40.2,20.7,67.4,175.8,183.5,183.5,181,182,181.3
,16:00,2670,184,183.2,183.9,54.2,97.5,64.2,176.2,184.4,182.9,182.2,181.3,179.5
