#OTU ID,Taxonomy,EAT01,EAT02,EAT03,EAT04,EAT05,EAT07,EAT09,EAT10,EAT11,EAT12,EAT13,EAT14,EAT15,EAT16,EAT17,EAT18,EAT19,EAT20,EAT21,EAT22,EAT23,EAT24,EAT25,EAT26,EAT27,EAT28,EAT29,EAT30,EAT31,EAT32,EAT33,EAT34,EAT35,EAT36,EAT38,EAT39,EAT40,EAT41,EAT42,EAT43,EAT44,EAT45,EAT46,EAT47,EAT48,EAT49,EAT50,EAT51,EAT52,EAT53,EAT55,EAT56
Otu1,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Vibrionales;D_4__Vibrionaceae;D_5__Vibrio;D_6__Vibrio fortis,102,78,68,89,35,19,1317,620,2843,2675,2636,1980,3879,368,153,194,346,309,441,255,232,243,4136,3984,1208,888,6296,5317,8332,7018,2027,1348,301,1855,2867,141,111,60,120,277,285,2769,1990,2049,1394,3563,4226,8167,17304,4688,41022,58375
Otu10,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Cellvibrionales;D_4__Spongiibacteraceae;D_5__Spongiibacter,9,3,0,0,0,0,41,1,10,8,48,10,19,1,0,0,17,13,1574,887,1743,1776,872,1470,74,57,34,19,28,33,84,9,4,30,13,2,1,0,0,0,1,564,456,283,180,2009,2130,43,51,107,108,27
Otu100,D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Oligoflexales;D_4__Oligoflexaceae;D_5__uncultured delta proteobacterium;D_6__uncultured delta proteobacterium,285,480,272,230,9,1,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,42,65
Otu102,Unassigned,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,409,568,10,0,0,0,0,0,0,0,0,0,0
Otu106,D_0__Bacteria;D_1__Cyanobacteria;D_2__Chloroplast;D_3__uncultured bacterium;D_4__uncultured bacterium;D_5__uncultured bacterium;D_6__uncultured bacterium,184,240,742,131,38,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,6,3,0,0,0,0
Otu107,D_0__Archaea;D_1__Thaumarchaeota;D_2__Marine Group I;D_3__Unknown Order;D_4__Unknown Family;D_5__Candidatus Nitrosopumilus,693,728,538,799,187,1,61,0,0,5,48,9,18,0,0,0,5,0,7,0,0,0,0,0,0,11,3,0,0,1,1,0,0,0,1,74,0,0,0,0,1,8,9,0,1,13,21,41,31,266,51,97
Otu11,D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Bdellovibrionales;D_4__Bacteriovoracaceae;D_5__uncultured,244,4,31,29,1,0,15,0,0,0,0,0,5,0,0,0,0,0,0,0,7,27,0,0,942,710,1497,691,0,0,0,0,0,0,0,1,4,1,4,1,0,60,24,0,1,413,577,0,0,0,4386,2679
Otu111,Unassigned,165,53,162,98,281,1,8,0,0,1,0,142,0,0,0,0,0,0,0,0,5,38,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
Otu114,D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Clostridiaceae 4;D_5__Clostridium sensu stricto;D_6__uncultured bacterium,0,0,0,0,0,0,0,1,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,13,2,96,3,7,38,2,161,722,86,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Otu12,D_0__Bacteria;D_1__Gracilibacteria;D_2__uncultured bacterium;D_3__uncultured bacterium;D_4__uncultured bacterium;D_5__uncultured bacterium;D_6__uncultured bacterium,28,14,32,32,47,0,2321,1744,44,16,1790,1076,0,1,0,0,7,5,207,81,7,2,153,129,0,10,5,1,17,18,28,0,0,40,31,0,1,0,0,0,0,30,21,54,32,133,261,152,640,1083,2716,1611
