#OTU ID,EAT01,EAT02,EAT03,EAT04,EAT05,EAT07,EAT09,EAT10,EAT11,EAT12,EAT13,EAT14,EAT15,EAT16,EAT17,EAT18,EAT19,EAT20,EAT21,EAT22,EAT23,EAT24,EAT25,EAT26,EAT27,EAT28,EAT29,EAT30,EAT31,EAT32,EAT33,EAT34,EAT35,EAT36,EAT38,EAT39,EAT40,EAT41,EAT42,EAT43,EAT44,EAT45,EAT46,EAT47,EAT48,EAT49,EAT50,EAT51,EAT52,EAT53,EAT55,EAT56
Otu107,693,728,538,799,187,1,61,0,0,5,48,9,18,0,0,0,5,0,7,0,0,0,0,0,0,11,3,0,0,1,1,0,0,0,1,74,0,0,0,0,1,8,9,0,1,13,21,41,31,266,51,97
Otu749,103,0,0,58,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu2004,49,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Otu414,226,1,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu1223,124,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu19,158,4,0,41,4,0,17,0,51,0,0,0,18,0,0,22,47,23,148,110,57,62,216,220,164,54,11,15,9,28,21,0,0,3,5,0,11,6,2,17,0,23,18,50,13,79,97,265,647,1742,744,790
Otu2757,74,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu4547,19,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu1306,84,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu33,299,2,33,31,43,3,23,259,44,88,149,137,10,1,68,161,38,49,130,113,11,16,4,8,142,176,16,12,102,23,295,445,70,2,54,0,12,0,1,1,97,5,2,0,0,24,1,1,0,514,8,19
Otu25,1826,1473,1661,1414,56,5,102,0,3,3,3,7,165,6,11,0,14,37,40,48,102,91,29,64,10,16,17,14,13,2,3,0,0,5,3,1,5,0,0,0,0,15,4,12,7,50,39,71,280,81,85,48
Otu41,1365,1374,367,806,41,2,72,0,0,2,0,1,1,0,0,0,0,0,0,65,30,2,55,5,12,9,1,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,3,2,0,5,0,0,0,148,0
Otu3241,41,0,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
Otu127,236,6,117,54,247,0,14,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0
Otu2037,36,0,35,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
